subject_id	Classification	Group	mean_abu_nor
Pt10	Betapapillomavirus	Pre-Tx	1.8720752599901
Pt10	Betapapillomavirus	Post-Tx-offIS-12M	0.728499085
Pt10	Betapapillomavirus	Post-Tx-offIS-24M	0.051739621
Pt10	Deltapolyomavirus	Pre-Tx	0.301648836367
Pt10	Deltapolyomavirus	Post-Tx-offIS-12M	0.01103407872
Pt10	Deltapolyomavirus	Post-Tx-offIS-24M	0
Pt10	Gammapapillomavirus	Pre-Tx	5.7746827317208
Pt10	Gammapapillomavirus	Post-Tx-offIS-12M	3.48866305978
Pt10	Gammapapillomavirus	Post-Tx-offIS-24M	0.929343397
Pt10	Herpesviridae	Pre-Tx	0.00036210329264
Pt10	Herpesviridae	Post-Tx-offIS-12M	0.0015621619
Pt10	Herpesviridae	Post-Tx-offIS-24M	0.0002817956
Pt10	Molluscipoxvirus	Pre-Tx	1.830124875e-05
Pt10	Molluscipoxvirus	Post-Tx-offIS-12M	0.00171048964
Pt10	Molluscipoxvirus	Post-Tx-offIS-24M	0
Pt10	Non-viruses	Pre-Tx	0.00547341269550983
Pt10	Non-viruses	Post-Tx-offIS-12M	1.32012036526
Pt10	Non-viruses	Post-Tx-offIS-24M	6.7993119064
Pt10	Papillomaviridae	Pre-Tx	0.0454020788952
Pt10	Papillomaviridae	Post-Tx-offIS-12M	2.4197910996
Pt10	Papillomaviridae	Post-Tx-offIS-24M	0
Pt10	Polyomaviridae	Pre-Tx	0.00012215334
Pt10	Polyomaviridae	Post-Tx-offIS-12M	0.0004248784
Pt10	Polyomaviridae	Post-Tx-offIS-24M	0
Pt10	Poxviridae	Pre-Tx	0
Pt10	Poxviridae	Post-Tx-offIS-12M	0
Pt10	Poxviridae	Post-Tx-offIS-24M	0
Pt12	Alphapolyomavirus	Pre-Tx	0.00519793
Pt12	Alphapolyomavirus	Post-Tx-onIS>12M	0.00038902929
Pt12	Anelloviridae	Pre-Tx	0
Pt12	Anelloviridae	Post-Tx-onIS>12M	0
Pt12	Betapapillomavirus	Pre-Tx	3.2483375407
Pt12	Betapapillomavirus	Post-Tx-onIS>12M	0.100564304535
Pt12	Deltapolyomavirus	Pre-Tx	2.9151940331
Pt12	Deltapolyomavirus	Post-Tx-onIS>12M	0.002763731458
