site_specific	kingdom	Group	site_mean
Ic	Eukaryotic virus	Post-Tx-onIS-1M	0.817193934046333
Ic	Eukaryotic virus	Post-Tx-onIS-2M	0.754622493129433
Ic	Eukaryotic virus	Post-Tx-onIS-3M	0.668591594530243
Ic	Eukaryotic virus	Post-Tx-onIS-6M	0.2794288469806
Ic	Eukaryotic virus	Post-Tx-onIS>12M	0.00049826173455
Ic	Eukaryotic virus	Post-Tx-offIS-12M	0.0238423865389462
Ic	Eukaryotic virus	Post-Tx-offIS-24M	0.00709339742613333
Ic	Eukaryotic virus	HVs	0.00183838356775
Ic	Eukaryotic virus	Donor	0.0224425420790857
Ic	Fungi	Pre-Tx	0.00270918381541808
Ic	Fungi	Post-Tx-onIS-1M	0.002812245087
Ic	Fungi	Post-Tx-onIS-2M	0.00305661518976667
Ic	Fungi	Post-Tx-onIS-3M	0.00518409922327143
Ic	Fungi	Post-Tx-onIS-6M	0.0184450755125286
Ic	Fungi	Post-Tx-onIS>12M	0.0611399877438
Ic	Fungi	Post-Tx-offIS-12M	0.0534226648005692
Ic	Fungi	Post-Tx-offIS-24M	0.0641497534393167
Ic	Fungi	HVs	0.172081120481083
Ic	Fungi	Donor	0.128037979560271
Ic	Phage	Pre-Tx	0.000778206064331202
Ic	Phage	Post-Tx-onIS-1M	7.913391e-05
Ic	Phage	Post-Tx-onIS-2M	0.000247687202333333
Ic	Phage	Post-Tx-onIS-3M	0.000416640149757143
Ic	Phage	Post-Tx-onIS-6M	0.000555240044714286
Ic	Phage	Post-Tx-onIS>12M	0.0012125222199
Ic	Phage	Post-Tx-offIS-12M	0.000556497326730769
Ic	Phage	Post-Tx-offIS-24M	0.000977668940633333
Ic	Phage	HVs	0.00261796012386667
Ic	Phage	Donor	0.00160778838675714
Pc	Bacteria	Pre-Tx	0.286326396617488
Pc	Bacteria	Post-Tx-onIS-1M	0.0375388533821667
Pc	Bacteria	Post-Tx-onIS-2M	0.0326972292962667
Pc	Bacteria	Post-Tx-onIS-3M	0.0948637563459857
Pc	Bacteria	Post-Tx-onIS-6M	0.422184269681286
Pc	Bacteria	Post-Tx-onIS>12M	0.95087933827595
Pc	Bacteria	Post-Tx-offIS-12M	0.729326013661308
Pc	Bacteria	Post-Tx-offIS-24M	0.936618239155067
Pc	Bacteria	HVs	0.968960954345633
Pc	Bacteria	Donor	0.897701468805429
Pc	Eukaryotic virus	Pre-Tx	0.708974363626708
Pc	Eukaryotic virus	Post-Tx-onIS-1M	0.962004025505267
Pc	Eukaryotic virus	Post-Tx-onIS-2M	0.966975351681667
Pc	Eukaryotic virus	Post-Tx-onIS-3M	0.903837844937514
Pc	Eukaryotic virus	Post-Tx-onIS-6M	0.566113083056143
Pc	Eukaryotic virus	Post-Tx-onIS>12M	0.001750373631525
Pc	Eukaryotic virus	Post-Tx-offIS-12M	0.110180019916846
Pc	Eukaryotic virus	Post-Tx-offIS-24M	0.0101031354478333
Pc	Eukaryotic virus	HVs	0.00195128401845
Pc	Eukaryotic virus	Donor	0.004342231947
Pc	Fungi	Pre-Tx	0.0042131825830861
Pc	Fungi	Post-Tx-onIS-1M	0.0004546529461
Pc	Fungi	Post-Tx-onIS-2M	0.000319612969033333
Pc	Fungi	Post-Tx-onIS-3M	0.00114206029688571
Pc	Fungi	Post-Tx-onIS-6M	0.008315335105
Pc	Fungi	Post-Tx-onIS>12M	0.04616797057595
Pc	Fungi	Post-Tx-offIS-12M	0.159975973135846
Pc	Fungi	Post-Tx-offIS-24M	0.0521348425693083
Pc	Fungi	HVs	0.0286570026539167
Pc	Fungi	Donor	0.097587420496
Pc	Phage	Pre-Tx	0.00048606184396314
