subject_id	site_specific	new_taxa	Group	rela_abu	Taxa
179	Hv06	Vf	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
180	Hv06	Vf	Staphylococcus hominis	HVs	0.00601573345673299	Staphylococcus hominis
181	Hv05	Ac	Staphylococcus	HVs	0	Other Staphylococcus
182	Hv05	Ac	Staphylococcus aureus	HVs	0	Staphylococcus aureus
183	Hv05	Ac	Staphylococcus capitis	HVs	0	Staphylococcus capitis
184	Hv05	Ac	Staphylococcus epidermidis	HVs	0.00487329434697856	Staphylococcus epidermidis
185	Hv05	Ac	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
186	Hv05	Ac	Staphylococcus hominis	HVs	0.0126705653021443	Staphylococcus hominis
187	Hv05	Ic	Staphylococcus	HVs	0.00314355571079287	Other Staphylococcus
188	Hv05	Ic	Staphylococcus aureus	HVs	0	Staphylococcus aureus
189	Hv05	Ic	Staphylococcus capitis	HVs	0.00209570380719525	Staphylococcus capitis
190	Hv05	Ic	Staphylococcus epidermidis	HVs	0.0202584701362207	Staphylococcus epidermidis
191	Hv05	Ic	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
192	Hv05	Ic	Staphylococcus hominis	HVs	0.0454069158225637	Staphylococcus hominis
193	Hv05	Mb	Staphylococcus	HVs	0	Other Staphylococcus
194	Hv05	Mb	Staphylococcus aureus	HVs	0	Staphylococcus aureus
195	Hv05	Mb	Staphylococcus capitis	HVs	0.00175541252194266	Staphylococcus capitis
196	Hv05	Mb	Staphylococcus epidermidis	HVs	0.00643651258045641	Staphylococcus epidermidis
197	Hv05	Mb	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
198	Hv05	Mb	Staphylococcus hominis	HVs	0.023990637799883	Staphylococcus hominis
199	Hv05	Pc	Staphylococcus	HVs	0.00225563909774436	Other Staphylococcus
200	Hv05	Pc	Staphylococcus aureus	HVs	0	Staphylococcus aureus
201	Hv05	Pc	Staphylococcus capitis	HVs	0.00225563909774436	Staphylococcus capitis
202	Hv05	Pc	Staphylococcus epidermidis	HVs	0.0205513784461153	Staphylococcus epidermidis
203	Hv05	Pc	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
204	Hv05	Pc	Staphylococcus hominis	HVs	0.0403508771929825	Staphylococcus hominis
205	Hv05	Ra	Staphylococcus	HVs	0	Other Staphylococcus
206	Hv05	Ra	Staphylococcus aureus	HVs	0	Staphylococcus aureus
207	Hv05	Ra	Staphylococcus capitis	HVs	0.00266607420573206	Staphylococcus capitis
208	Hv05	Ra	Staphylococcus epidermidis	HVs	0.170184403465896	Staphylococcus epidermidis
209	Hv05	Ra	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
210	Hv05	Ra	Staphylococcus hominis	HVs	0.00599866696289713	Staphylococcus hominis
211	Hv05	Vf	Staphylococcus	HVs	0.000964320154291225	Other Staphylococcus
212	Hv05	Vf	Staphylococcus aureus	HVs	0	Staphylococcus aureus
213	Hv05	Vf	Staphylococcus capitis	HVs	0.00313404050144648	Staphylococcus capitis
214	Hv05	Vf	Staphylococcus epidermidis	HVs	0.00675024108003857	Staphylococcus epidermidis
215	Hv05	Vf	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
216	Hv05	Vf	Staphylococcus hominis	HVs	0.0103664416586307	Staphylococcus hominis
217	Pt01	Ac	Staphylococcus	Pre-Tx	0.00442477876106195	Other Staphylococcus
218	Pt01	Ac	Staphylococcus	Post-Tx-offIS-24M	0.0247320692497939	Other Staphylococcus
219	Pt01	Ac	Staphylococcus aureus	Pre-Tx	0.0346607669616519	Staphylococcus aureus
220	Pt01	Ac	Staphylococcus aureus	Post-Tx-offIS-24M	0	Staphylococcus aureus
221	Pt01	Ac	Staphylococcus capitis	Pre-Tx	0	Staphylococcus capitis
222	Pt01	Ac	Staphylococcus capitis	Post-Tx-offIS-24M	0.0123660346248969	Staphylococcus capitis
223	Pt01	Ac	Staphylococcus epidermidis	Pre-Tx	0.127949852507375	Staphylococcus epidermidis
224	Pt01	Ac	Staphylococcus epidermidis	Post-Tx-offIS-24M	0.0247320692497939	Staphylococcus epidermidis
225	Pt01	Ac	Staphylococcus haemolyticus	Pre-Tx	0	Staphylococcus haemolyticus
226	Pt01	Ac	Staphylococcus haemolyticus	Post-Tx-offIS-24M	0	Staphylococcus haemolyticus
227	Pt01	Ac	Staphylococcus hominis	Pre-Tx	0.0324483775811209	Staphylococcus hominis
228	Pt01	Ac	Staphylococcus hominis	Post-Tx-offIS-24M	0.0140148392415499	Staphylococcus hominis
229	Pt01	Hp	Staphylococcus	Post-Tx-offIS-24M	0.00735009671179884	Other Staphylococcus
230	Pt01	Hp	Staphylococcus aureus	Post-Tx-offIS-24M	0.000773694390715667	Staphylococcus aureus
231	Pt01	Hp	Staphylococcus capitis	Post-Tx-offIS-24M	0	Staphylococcus capitis
232	Pt01	Hp	Staphylococcus epidermidis	Post-Tx-offIS-24M	0.0676982591876209	Staphylococcus epidermidis
233	Pt01	Hp	Staphylococcus haemolyticus	Post-Tx-offIS-24M	0	Staphylococcus haemolyticus
234	Pt01	Hp	Staphylococcus hominis	Post-Tx-offIS-24M	0.0108317214700193	Staphylococcus hominis
235	Pt01	Ic	Staphylococcus	Post-Tx-offIS-24M	0	Other Staphylococcus
236	Pt01	Ic	Staphylococcus aureus	Post-Tx-offIS-24M	0	Staphylococcus aureus
237	Pt01	Ic	Staphylococcus capitis	Post-Tx-offIS-24M	0	Staphylococcus capitis
238	Pt01	Ic	Staphylococcus epidermidis	Post-Tx-offIS-24M	0.0277777777777777	Staphylococcus epidermidis
239	Pt01	Ic	Staphylococcus haemolyticus	Post-Tx-offIS-24M	0	Staphylococcus haemolyticus
240	Pt01	Ic	Staphylococcus hominis	Post-Tx-offIS-24M	0.0839575530586766	Staphylococcus hominis
241	Pt01	Mb	Staphylococcus	Post-Tx-offIS-24M	0.00478142076502733	Other Staphylococcus
242	Pt01	Mb	Staphylococcus aureus	Post-Tx-offIS-24M	0	Staphylococcus aureus
243	Pt01	Mb	Staphylococcus capitis	Post-Tx-offIS-24M	0	Staphylococcus capitis
244	Pt01	Mb	Staphylococcus epidermidis	Post-Tx-offIS-24M	0.0191256830601093	Staphylococcus epidermidis
245	Pt01	Mb	Staphylococcus haemolyticus	Post-Tx-offIS-24M	0	Staphylococcus haemolyticus
246	Pt01	Mb	Staphylococcus hominis	Post-Tx-offIS-24M	0.00546448087431694	Staphylococcus hominis
247	Pt01	Ph	Staphylococcus	Post-Tx-offIS-24M	0.0148335745296672	Other Staphylococcus
248	Pt01	Ph	Staphylococcus aureus	Post-Tx-offIS-24M	0.170767004341534	Staphylococcus aureus
249	Pt01	Ph	Staphylococcus capitis	Post-Tx-offIS-24M	0.0300289435600579	Staphylococcus capitis
250	Pt01	Ph	Staphylococcus epidermidis	Post-Tx-offIS-24M	0.0318379160636758	Staphylococcus epidermidis
251	Pt01	Ph	Staphylococcus haemolyticus	Post-Tx-offIS-24M	0.00217076700434153	Staphylococcus haemolyticus
252	Pt01	Ph	Staphylococcus hominis	Post-Tx-offIS-24M	0.0227930535455861	Staphylococcus hominis
253	Pt01	Ra	Staphylococcus	Pre-Tx	0.00209142515685689	Other Staphylococcus
254	Pt01	Ra	Staphylococcus aureus	Pre-Tx	0.00597550044816253	Staphylococcus aureus
255	Pt01	Ra	Staphylococcus capitis	Pre-Tx	0	Staphylococcus capitis
256	Pt01	Ra	Staphylococcus epidermidis	Pre-Tx	0.31102479832686	Staphylococcus epidermidis
257	Pt01	Ra	Staphylococcus haemolyticus	Pre-Tx	0	Staphylococcus haemolyticus
258	Pt01	Ra	Staphylococcus hominis	Pre-Tx	0.0253958769046908	Staphylococcus hominis
259	Pt01	Vf	Staphylococcus	Pre-Tx	0.000408663669799754	Other Staphylococcus
260	Pt01	Vf	Staphylococcus	Post-Tx-offIS-24M	0.018369690011481	Other Staphylococcus
261	Pt01	Vf	Staphylococcus aureus	Pre-Tx	0.000408663669799755	Staphylococcus aureus
262	Pt01	Vf	Staphylococcus aureus	Post-Tx-offIS-24M	0	Staphylococcus aureus
263	Pt01	Vf	Staphylococcus capitis	Pre-Tx	0	Staphylococcus capitis
264	Pt01	Vf	Staphylococcus capitis	Post-Tx-offIS-24M	0.00803673938002296	Staphylococcus capitis
265	Pt01	Vf	Staphylococcus epidermidis	Pre-Tx	0.00510829587249693	Staphylococcus epidermidis
266	Pt01	Vf	Staphylococcus epidermidis	Post-Tx-offIS-24M	0.0199004975124378	Staphylococcus epidermidis
267	Pt01	Vf	Staphylococcus haemolyticus	Pre-Tx	0	Staphylococcus haemolyticus
268	Pt01	Vf	Staphylococcus haemolyticus	Post-Tx-offIS-24M	0	Staphylococcus haemolyticus
269	Pt01	Vf	Staphylococcus hominis	Pre-Tx	0.00469963220269717	Staphylococcus hominis
270	Pt01	Vf	Staphylococcus hominis	Post-Tx-offIS-24M	0.00841944125526215	Staphylococcus hominis
271	Pt11	Ac	Staphylococcus	Pre-Tx	0	Other Staphylococcus
272	Pt11	Ac	Staphylococcus	Post-Tx-offIS-12M	0.00592300098716683	Other Staphylococcus
273	Pt11	Ac	Staphylococcus	Post-Tx-offIS-24M	0.015311510031679	Other Staphylococcus
274	Pt11	Ac	Staphylococcus aureus	Pre-Tx	0	Staphylococcus aureus
275	Pt11	Ac	Staphylococcus aureus	Post-Tx-offIS-12M	0	Staphylococcus aureus
276	Pt11	Ac	Staphylococcus aureus	Post-Tx-offIS-24M	0.0155755015839493	Staphylococcus aureus
277	Pt11	Ac	Staphylococcus capitis	Pre-Tx	0	Staphylococcus capitis
278	Pt11	Ac	Staphylococcus capitis	Post-Tx-offIS-12M	0	Staphylococcus capitis
279	Pt11	Ac	Staphylococcus capitis	Post-Tx-offIS-24M	0.00448785638859556	Staphylococcus capitis
280	Pt11	Ac	Staphylococcus epidermidis	Pre-Tx	0.810319554382879	Staphylococcus epidermidis
281	Pt11	Ac	Staphylococcus epidermidis	Post-Tx-offIS-12M	0.0429417571569595	Staphylococcus epidermidis
282	Pt11	Ac	Staphylococcus epidermidis	Post-Tx-offIS-24M	0.0221752903907075	Staphylococcus epidermidis
283	Pt11	Ac	Staphylococcus haemolyticus	Pre-Tx	0.0372324831427734	Staphylococcus haemolyticus
284	Pt11	Ac	Staphylococcus haemolyticus	Post-Tx-offIS-12M	0	Staphylococcus haemolyticus
285	Pt11	Ac	Staphylococcus haemolyticus	Post-Tx-offIS-24M	0	Staphylococcus haemolyticus
286	Pt11	Ac	Staphylococcus hominis	Pre-Tx	0.010847258868367	Staphylococcus hominis
287	Pt11	Ac	Staphylococcus hominis	Post-Tx-offIS-12M	0.027147087857848	Staphylococcus hominis
288	Pt11	Ac	Staphylococcus hominis	Post-Tx-offIS-24M	0.0087117212249208	Staphylococcus hominis
289	Pt11	Hp	Staphylococcus	Pre-Tx	0	Other Staphylococcus
290	Pt11	Hp	Staphylococcus	Post-Tx-offIS-12M	0	Other Staphylococcus
291	Pt11	Hp	Staphylococcus	Post-Tx-offIS-24M	0.0104192508062515	Other Staphylococcus
292	Pt11	Hp	Staphylococcus aureus	Pre-Tx	0	Staphylococcus aureus
293	Pt11	Hp	Staphylococcus aureus	Post-Tx-offIS-12M	0.0017921146953405	Staphylococcus aureus
294	Pt11	Hp	Staphylococcus aureus	Post-Tx-offIS-24M	0.00992309600595386	Staphylococcus aureus
295	Pt11	Hp	Staphylococcus capitis	Pre-Tx	0	Staphylococcus capitis
296	Pt11	Hp	Staphylococcus capitis	Post-Tx-offIS-12M	0	Staphylococcus capitis
297	Pt11	Hp	Staphylococcus capitis	Post-Tx-offIS-24M	0.00446539320267924	Staphylococcus capitis
298	Pt11	Hp	Staphylococcus epidermidis	Pre-Tx	0.194775878748791	Staphylococcus epidermidis
299	Pt11	Hp	Staphylococcus epidermidis	Post-Tx-offIS-12M	0.0595878136200717	Staphylococcus epidermidis
300	Pt11	Hp	Staphylococcus epidermidis	Post-Tx-offIS-24M	0.0153807988092285	Staphylococcus epidermidis
