subject_id	kingdom	Group	mean_abu_norm_bs
Pt17	Bacteria	Post-Tx-offIS-12M	5.6494761378419
Pt17	Eukaryotic virus	Pre-Tx	7.93299720156496
Pt17	Eukaryotic virus	Post-Tx-onIS-6M	7.672961928393
Pt17	Eukaryotic virus	Post-Tx-offIS-12M	1.645556728625
Pt17	Fungi	Pre-Tx	0.0001711626971703
Pt17	Fungi	Post-Tx-onIS-6M	0.001772119497341
Pt17	Fungi	Post-Tx-offIS-12M	0.01836772788742
Pt17	Phage	Pre-Tx	0.00199998264257
Pt17	Phage	Post-Tx-onIS-6M	0.030745297805
Pt17	Phage	Post-Tx-offIS-12M	0.686599429858
Pt21	Bacteria	Pre-Tx	0.05377738785754
Pt21	Bacteria	Post-Tx-onIS-3M	0.689124725850885
Pt21	Bacteria	Post-Tx-onIS-6M	1.44427113886351
Pt21	Eukaryotic virus	Pre-Tx	7.943458215761
Pt21	Eukaryotic virus	Post-Tx-onIS-3M	7.0616131396234
Pt21	Eukaryotic virus	Post-Tx-onIS-6M	6.4304107402406
Pt21	Fungi	Pre-Tx	0.00076771662533
Pt21	Fungi	Post-Tx-onIS-3M	0.004642171946237
Pt21	Fungi	Post-Tx-onIS-6M	0.0028040739531355
Pt21	Phage	Pre-Tx	0.00199686342
Pt21	Phage	Post-Tx-onIS-3M	0.2446201884316
Pt21	Phage	Post-Tx-onIS-6M	0.12251404291174
Pt24	Bacteria	Pre-Tx	1.02373074454564
Pt24	Bacteria	Post-Tx-onIS-3M	1.07144331524236
Pt24	Bacteria	Post-Tx-offIS-24M	3.24526031161842
Pt24	Eukaryotic virus	Pre-Tx	6.946930668437
Pt24	Eukaryotic virus	Post-Tx-onIS-3M	6.853902872824
Pt24	Eukaryotic virus	Post-Tx-offIS-24M	3.078024188272
Pt24	Fungi	Pre-Tx	0.000137346104972
Pt24	Fungi	Post-Tx-onIS-3M	0.000882851224704
Pt24	Fungi	Post-Tx-offIS-24M	0.063027838262592
Pt24	Phage	Pre-Tx	0.0292013822624
Pt24	Phage	Post-Tx-onIS-3M	0.0737711885992
Pt24	Phage	Post-Tx-offIS-24M	1.61368785478
Pt22	Bacteria	Pre-Tx	0.121295951452274
Pt22	Bacteria	Post-Tx-onIS-1M	0.0083389375185863
Pt22	Bacteria	Post-Tx-onIS-2M	0.0052247117669177
Pt22	Bacteria	Post-Tx-onIS-3M	0.0028831284338563
Pt22	Eukaryotic virus	Pre-Tx	6.86305838797274
Pt22	Eukaryotic virus	Post-Tx-onIS-1M	6.98674428812372
Pt22	Eukaryotic virus	Post-Tx-onIS-2M	7.99415612712528
Pt22	Eukaryotic virus	Post-Tx-onIS-3M	7.9961920625049
Pt22	Fungi	Pre-Tx	0.0001366884989435
Pt22	Fungi	Post-Tx-onIS-1M	4.833164682223e-05
Pt22	Fungi	Post-Tx-onIS-2M	7.714843930735e-05
Pt22	Fungi	Post-Tx-onIS-3M	6.134927249796e-05
Pt22	Phage	Pre-Tx	0.0155087957552
Pt22	Phage	Post-Tx-onIS-1M	0.00486838746
Pt22	Phage	Post-Tx-onIS-2M	0.00054203769189
Pt22	Phage	Post-Tx-onIS-3M	0.0008634101553
Pt19	Bacteria	Pre-Tx	0.00778271016043
Pt19	Bacteria	Post-Tx-onIS-3M	0.0021456777108689
Pt19	Bacteria	Post-Tx-onIS-6M	0.239094150727467
Pt19	Bacteria	Post-Tx-offIS-12M	0.81815966954927
Pt19	Eukaryotic virus	Pre-Tx	7.9922167103041
Pt19	Eukaryotic virus	Post-Tx-onIS-3M	5.99750301219243
Pt19	Eukaryotic virus	Post-Tx-onIS-6M	7.6175825115382
Pt19	Eukaryotic virus	Post-Tx-offIS-12M	6.6678986637532
Pt19	Fungi	Pre-Tx	5.80934617e-07
Pt19	Fungi	Post-Tx-onIS-3M	3.0560782681e-06
Pt19	Fungi	Post-Tx-onIS-6M	0.120442620045172
Pt19	Fungi	Post-Tx-offIS-12M	0.434127368639056
Pt19	Phage	Pre-Tx	0
Pt19	Phage	Post-Tx-onIS-3M	0.0003483843924
Pt19	Phage	Post-Tx-onIS-6M	0.02288071449229
Pt19	Phage	Post-Tx-offIS-12M	0.0798140744776
Pt20	Bacteria	Pre-Tx	0.044329782735576
Pt20	Bacteria	Post-Tx-onIS-1M	0.00551581450041
Pt20	Bacteria	Post-Tx-onIS-2M	0.148644790862843
Pt20	Bacteria	Post-Tx-onIS-3M	0.259932685858157
Pt20	Bacteria	Post-Tx-onIS-6M	1.14696562366371
Pt20	Bacteria	Post-Tx-offIS-12M	4.12790648511875
Pt20	Eukaryotic virus	Pre-Tx	7.955414610641
Pt20	Eukaryotic virus	Post-Tx-onIS-1M	6.994227977418
Pt20	Eukaryotic virus	Post-Tx-onIS-2M	7.850300924314
Pt20	Eukaryotic virus	Post-Tx-onIS-3M	7.7395469805283
Pt20	Eukaryotic virus	Post-Tx-onIS-6M	6.81712228840394
Pt20	Eukaryotic virus	Post-Tx-offIS-12M	3.813651014741
Pt20	Fungi	Pre-Tx	7.5152756211e-05
Pt20	Fungi	Post-Tx-onIS-1M	2.5729308789e-05
Pt20	Fungi	Post-Tx-onIS-2M	6.51471003669e-05
Pt20	Fungi	Post-Tx-onIS-3M	0.0001549084107545
Pt20	Fungi	Post-Tx-onIS-6M	0.0018828362766555
Pt20	Fungi	Post-Tx-offIS-12M	0.0080536950902548
Pt20	Phage	Pre-Tx	0.000180369781
Pt20	Phage	Post-Tx-onIS-1M	0.000230456967
Pt20	Phage	Post-Tx-onIS-2M	0.000989148533
Pt20	Phage	Post-Tx-onIS-3M	0.0003656617433
Pt20	Phage	Post-Tx-onIS-6M	0.03402916481937
Pt20	Phage	Post-Tx-offIS-12M	0.050388863722
Pt23	Bacteria	Pre-Tx	0.0806380085164443
Pt23	Bacteria	Post-Tx-onIS-1M	0.0485974075083778
Pt23	Bacteria	Post-Tx-onIS-2M	0.108160239511536
Pt23	Bacteria	Post-Tx-onIS-3M	0.162159070255151
Pt23	Eukaryotic virus	Pre-Tx	7.9178360245429
Pt23	Eukaryotic virus	Post-Tx-onIS-1M	7.9511158687588
Pt23	Eukaryotic virus	Post-Tx-onIS-2M	7.88707723757434
Pt23	Eukaryotic virus	Post-Tx-onIS-3M	7.8335003216291
Pt23	Fungi	Pre-Tx	0.0013487806934261
Pt23	Fungi	Post-Tx-onIS-1M	0.0001606390481484
Pt23	Fungi	Post-Tx-onIS-2M	0.0005984647102646
Pt23	Fungi	Post-Tx-onIS-3M	0.0017477443574508
Pt23	Phage	Pre-Tx	0.00017700772
Pt23	Phage	Post-Tx-onIS-1M	0.0001261854556
Pt23	Phage	Post-Tx-onIS-2M	0.00416417419088
Pt23	Phage	Post-Tx-onIS-3M	0.0025928986076
DPt18	Bacteria	Donor	0.787273814339147
DPt18	Eukaryotic virus	Donor	6.7162057188144
DPt18	Fungi	Donor	0.0350472912985099
DPt18	Phage	Donor	0.461473177436
